t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
28,505.8296321,0.1328670426321933,0.26637925216666664,45427868.97,22674.99326666667,2870754398.6666665,2848040464.3333335,2893468333.1666665,6
29,505.84296916000005,0.22995219247051038,0.2954300146,45429004.26,25147.880472,2870755259.4,2848040757.4,2893469761.6,5
30,505.73113108333337,0.1116385108258638,0.18495011033333333,45419484.27,15743.502818333334,2870754632.5,2848044890.3333335,2893464374.6666665,6
31,505.8654946,0.03198266806196483,0.13170487,45430921.69,11211.109749333335,2870758063.3333335,2848042602.6666665,2893473524.0,3
32,505.78573681666666,0.11540364203835433,0.12384095416666667,45424132.475,10541.709925833333,2870753951.3333335,2848041885.3333335,2893466017.5,6
33,505.7420283666667,0.11567879721029105,0.1138707795,45420411.88166667,9693.0190235,2870757732.1666665,2848047526.3333335,2893467938.3333335,6
34,505.7063507,0.15505062870333747,0.19989527716666666,45417374.89333334,17015.67980833333,2870755628.8333335,2848046941.0,2893464316.1666665,6
35,505.8408878,0.027465179066797088,0.146695223,45428827.09,12487.13319,2870759948.6666665,2848045535.6666665,2893474362.3333335,3
36,505.78966051666663,0.09655998366165588,0.23394249450000001,45424466.47,19913.880093333333,2870755069.3333335,2848042836.0,2893467302.6666665,6
37,505.80559954999995,0.1165324269910526,0.19056095283333332,45425823.25,16221.11439,2870759114.5,2848046202.8333335,2893472026.1666665,6
38,505.78881354000004,0.11349422101704733,0.1584242148,45424394.374,13485.539773999999,2870759126.0,2848046929.0,2893471323.4,5
39,505.745962575,0.17562451437782461,0.19284970425,45420746.775,16415.93972,2870761552.0,2848051178.75,2893471925.25,4
40,505.73245571666666,0.09730147200271325,0.1342876365,45419597.028333336,11430.962541666668,2870758786.0,2848048987.5,2893468584.5,6
41,505.80757016666666,0.14284855042880273,0.15712123216666665,45425990.995000005,13374.626048166667,2870756748.0,2848043752.5,2893469743.6666665,6
42,505.957823825,0.10525718894580927,0.215181208,45438781.0275,18316.86366,2870753375.0,2848033984.25,2893472765.25,4
43,505.75611632,0.09751524468353323,0.15338323420000002,45421611.088,13056.436532,2870754300.8,2848043495.2,2893465106.2,5
44,505.8121979333334,0.05315581101349759,0.1224983145,45426384.921666674,10427.420427833333,2870753834.3333335,2848040641.6666665,2893467026.5,6
45,505.80804665,0.050780841129887906,0.09342394766666667,45426031.55500001,7952.523948999999,2870756678.6666665,2848043662.8333335,2893469694.3333335,6
46,505.965366825,0.1332209257450381,0.2037602235,45439423.115,17344.675522499998,2870756733.5,2848037022.0,2893476445.25,4
47,505.87941364,0.18032190582941493,0.1772950424,45432106.526,15091.880666000001,2870754072.2,2848038019.0,2893470125.4,5
48,505.85395072,0.1253996358877856,0.1446922028,45429939.044,12316.630137999999,2870757448.2,2848042478.6,2893472417.6,5
49,505.9326485600001,0.08918425860762792,0.16041348100000002,45436638.038,13654.872034,2870756278.0,2848037958.8,2893474597.0,5
50,505.9693967,0.14841031174365957,0.16991076425,45439766.144999996,14463.30901,2870754482.75,2848034599.75,2893474366.0,4
51,505.90723963333335,0.14418515285771707,0.19281485833333334,45434475.153333336,16412.973515,2870757836.3333335,2848040598.6666665,2893475074.0,6
52,505.90792855999996,0.11313192064981255,0.1640156954,45434533.8,13961.503226,2870758448.4,2848041181.6,2893475715.4,5
53,505.9706925333333,0.11339512278934884,0.129661742,45439876.455000006,11037.192667333335,2870755156.3333335,2848035218.1666665,2893475094.6666665,6
54,505.97000026666666,0.08066986360187717,0.16221694033333334,45439817.52666666,13808.387873333333,2870753499.3333335,2848033590.6666665,2893473408.3333335,3
55,505.93737666,0.15869806525546223,0.1915870682,45437040.508,16308.460373999998,2870755970.8,2848037450.4,2893474490.8,5
56,505.99324671666665,0.07904461674527595,0.15891821166666667,45441796.33166667,13527.590251666667,2870756967.5,2848036069.1666665,2893477865.8333335,6
57,506.00692193333333,0.08243102936428057,0.127100359,45442960.41,10819.160120499999,2870756949.1666665,2848035469.1666665,2893478429.5,6
58,505.976079375,0.15942591719196056,0.1739017065,45440335.0,14803.0298775,2870755416.25,2848035249.0,2893475584.0,4
59,505.99292014,0.04490119495568635,0.1310714004,45441768.532,11157.186968600001,2870759008.8,2848038124.8,2893479893.2,5
60,505.97641789999994,0.10325276234106728,0.10905795766666666,45440363.815,9283.337326166666,2870757651.3333335,2848037469.3333335,2893477833.1666665,6
61,506.0114390333333,0.12476681313180045,0.128021692,45443344.91833333,10897.5867325,2870757699.0,2848036026.1666665,2893479371.5,6
62,506.0795996333333,0.1057686016990346,0.18390299266666665,45449146.949999996,15654.36904,2870757790.3333335,2848033217.0,2893482364.0,3
63,505.9523569166667,0.14588247440458602,0.17358530000000003,45438315.66833333,14776.0964,2870758685.6666665,2848039528.0,2893477843.8333335,6
